epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2349,2.42175,4.29282,3.08536,1.45485,0,0.02954,0.35796,0.06488,0.02445,0.0237,0.28909,0.03817,0.01322,2.12401,3.68988,3.12053,1.27615,0,0.000544981,0.000544981,0.000544981
2,18.1749,2.29648,3.85055,2.23586,1.3445,0,0.29774,0.25633,0.19955,0.08501,0.26419,0.23062,0.15057,0.05771,2.09889,3.53233,2.0251,1.38356,0,0.00107885,0.00107885,0.00107885
3,26.1734,2.21081,3.70498,2.10706,1.35685,0,0.33781,0.31111,0.25704,0.12114,0.35604,0.31188,0.24338,0.10259,1.97275,3.31964,1.80303,1.34649,0,0.00159072,0.00159072,0.00159072
4,34.083,2.1438,3.54324,1.92995,1.33161,0,0.38985,0.3877,0.32851,0.14706,0.40567,0.36213,0.33737,0.13588,1.95734,3.21522,1.66738,1.33931,0,0.00156798,0.00156798,0.00156798
5,42.1536,2.06317,3.41409,1.79512,1.27274,0,0.42596,0.42754,0.38314,0.17576,0.431,0.43969,0.38967,0.15911,1.81102,3.10006,1.58791,1.23313,0,0.00153497,0.00153497,0.00153497
6,50.1564,1.98906,3.2795,1.67651,1.27227,0,0.54686,0.42975,0.41603,0.19938,0.52995,0.44043,0.43176,0.18698,1.79901,2.91008,1.59556,1.20445,0,0.00150197,0.00150197,0.00150197
7,58.0753,1.94755,3.22855,1.61783,1.25923,0,0.60724,0.41507,0.44945,0.20717,0.63052,0.42448,0.47646,0.20081,1.73638,3.04632,1.57205,1.19233,0,0.00146896,0.00146896,0.00146896
8,66.201,1.99463,3.26394,1.56216,1.23946,0,0.72125,0.45779,0.49877,0.24018,0.73745,0.46785,0.51518,0.23298,1.74592,2.53473,1.41095,1.16751,0,0.00143595,0.00143595,0.00143595
9,74.1092,1.92992,3.13556,1.54421,1.23525,0,0.6409,0.48744,0.50351,0.27046,0.64832,0.53853,0.53314,0.23555,1.66506,2.67356,1.32197,1.13487,0,0.00140295,0.00140295,0.00140295
10,82.2223,1.95707,3.1547,1.51867,1.1959,0,0.77416,0.46035,0.5221,0.28273,0.70754,0.49619,0.5579,0.25274,1.62932,2.42883,1.2261,1.13143,0,0.00136994,0.00136994,0.00136994
11,90.1724,1.83715,2.99516,1.49769,1.19596,0,0.6688,0.46475,0.52083,0.27795,0.70312,0.51163,0.56499,0.26872,1.69999,2.44173,1.26276,1.13074,0,0.00133693,0.00133693,0.00133693
12,98.2735,1.84877,2.9144,1.4216,1.1703,0,0.71342,0.48823,0.52306,0.26831,0.74454,0.5101,0.58028,0.2699,1.71982,2.53085,1.21049,1.12972,0,0.00130393,0.00130393,0.00130393
13,106.526,1.76814,2.86783,1.34192,1.14782,0,0.7012,0.53481,0.5572,0.32227,0.73456,0.52967,0.57847,0.2779,1.51566,2.27399,1.11658,1.09043,0,0.00127092,0.00127092,0.00127092
14,114.892,1.74592,2.77875,1.35627,1.15985,0,0.81937,0.53567,0.58886,0.32523,0.83145,0.56192,0.61748,0.31309,1.59613,2.23415,1.08093,1.11239,0,0.00123791,0.00123791,0.00123791
15,122.983,1.75159,2.79298,1.28455,1.16045,0,0.82439,0.52573,0.59186,0.33052,0.78675,0.50473,0.60344,0.32257,1.55683,2.24096,1.11015,1.0807,0,0.00120491,0.00120491,0.00120491
16,131.16,1.72941,2.7394,1.28667,1.14412,0,0.82809,0.57045,0.60393,0.34516,0.80416,0.5582,0.61362,0.3088,1.4832,2.2713,1.09674,1.07932,0,0.0011719,0.0011719,0.0011719
17,139.321,1.69592,2.74427,1.26194,1.14035,0,0.82694,0.52812,0.58345,0.32928,0.7777,0.50555,0.58762,0.28675,1.40284,2.29134,1.11466,1.03534,0,0.00113889,0.00113889,0.00113889
18,147.464,1.64862,2.69259,1.23622,1.12208,0,0.82704,0.55173,0.59842,0.34926,0.85388,0.54654,0.62432,0.3103,1.37937,2.21351,1.00955,1.04635,0,0.00110589,0.00110589,0.00110589
19,155.715,1.58934,2.59055,1.18564,1.1167,0,0.82408,0.51325,0.59832,0.36529,0.85421,0.52262,0.6227,0.33339,1.39836,2.05444,0.97852,1.04175,0,0.00107288,0.00107288,0.00107288
20,164.38,1.65598,2.62556,1.20358,1.11129,0,0.7404,0.55282,0.60723,0.35352,0.81193,0.52784,0.62723,0.31409,1.45716,2.07392,1.03152,1.05212,0,0.00103987,0.00103987,0.00103987
21,173.328,1.62668,2.5806,1.17132,1.1065,0,0.8206,0.54177,0.60902,0.36745,0.84267,0.52664,0.63038,0.32346,1.4431,2.13208,0.98025,1.04527,0,0.00100687,0.00100687,0.00100687
22,181.956,1.7237,2.71885,1.20271,1.11525,0,0.85268,0.5159,0.60957,0.37724,0.85358,0.50077,0.62356,0.33475,1.32773,2.00455,0.96394,1.01069,0,0.000973861,0.000973861,0.000973861
23,190.547,1.64865,2.63478,1.1633,1.09369,0,0.81531,0.56018,0.61104,0.35837,0.84351,0.57033,0.65257,0.34256,1.4319,1.99147,0.97001,1.04039,0,0.000940855,0.000940855,0.000940855
24,198.92,1.62395,2.60446,1.13104,1.09118,0,0.71898,0.60259,0.62865,0.40376,0.7877,0.57192,0.64647,0.33854,1.22619,2.00315,0.93535,0.99246,0,0.000907848,0.000907848,0.000907848
25,208.928,1.49685,2.42313,1.07117,1.07557,0,0.84667,0.58677,0.63718,0.39739,0.86481,0.59778,0.6762,0.36834,1.28627,1.86047,0.89343,1.00167,0,0.000874842,0.000874842,0.000874842
26,218.51,1.57039,2.5211,1.09789,1.07599,0,0.78248,0.61689,0.63204,0.38776,0.82078,0.63016,0.67248,0.35676,1.3576,1.96873,0.90296,1.01146,0,0.000841835,0.000841835,0.000841835
