epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.49028,1.75567,3.323,2.65255,1.62869,0,0.04875,0.85153,0.21455,0.08546,0.04667,0.81514,0.22795,0.09738,1.45716,2.59613,2.76304,1.47537,0,0.00065,0.00065,0.00065
2,13.1867,1.47647,2.31819,1.758,1.40635,0,0.48468,0.55604,0.5173,0.32976,0.49294,0.5706,0.53001,0.29914,1.28886,2.27531,1.58146,1.30463,0,0.00128408,0.00128408,0.00128408
3,18.8286,1.44828,2.22104,1.66888,1.41359,0,0.56888,0.63755,0.57321,0.34972,0.57843,0.64192,0.57983,0.34822,1.3648,2.13519,1.54831,1.39585,0,0.00188516,0.00188516,0.00188516
4,24.3388,1.35614,2.13583,1.61638,1.37616,0,0.48968,0.56623,0.45614,0.3038,0.50527,0.57933,0.46863,0.29367,1.26887,2.09761,2.91567,1.31265,0,0.0018515,0.0018515,0.0018515
5,29.9978,1.26862,2.02525,1.48875,1.33157,0,0.56622,0.55313,0.52618,0.31715,0.59891,0.57496,0.54605,0.29619,1.35052,2.17318,1.71234,1.34279,0,0.001802,0.001802,0.001802
6,35.6747,1.2042,1.86449,1.41403,1.27408,0,0.49187,0.45852,0.3976,0.17755,0.50968,0.47889,0.41446,0.18986,1.92491,2.78702,2.33053,1.61941,0,0.0017525,0.0017525,0.0017525
7,41.1789,1.13553,1.7995,1.37135,1.23506,0,0.63233,0.70742,0.71308,0.49707,0.68451,0.66084,0.71206,0.46526,1.05181,1.73927,1.16815,1.16935,0,0.001703,0.001703,0.001703
8,46.6724,1.14121,1.748,1.31533,1.24113,0,0.61602,0.67977,0.67325,0.37996,0.63981,0.68705,0.68659,0.37221,1.42699,1.87837,1.32874,1.37058,0,0.0016535,0.0016535,0.0016535
9,52.3204,1.15002,1.73563,1.30019,1.23267,0,0.71096,0.60867,0.69439,0.49626,0.70837,0.64483,0.7203,0.49013,0.9886,1.5932,1.30695,1.17398,0,0.001604,0.001604,0.001604
10,57.8344,1.08998,1.65763,1.25554,1.20354,0,0.67705,0.74527,0.76965,0.5647,0.70217,0.77293,0.78942,0.53861,0.89503,1.4902,1.1088,1.11694,0,0.0015545,0.0015545,0.0015545
11,63.3817,1.05482,1.60792,1.21072,1.1715,0,0.73091,0.6361,0.74157,0.51942,0.71535,0.69723,0.76686,0.5268,1.01697,1.52656,1.10174,1.15128,0,0.001505,0.001505,0.001505
12,68.9727,1.04317,1.61152,1.18774,1.17154,0,0.67404,0.75109,0.76987,0.55497,0.68925,0.75546,0.7832,0.52278,0.93923,1.4835,1.05933,1.11793,0,0.0014555,0.0014555,0.0014555
13,74.5658,1.01709,1.50644,1.14064,1.15089,0,0.61855,0.78127,0.73486,0.49069,0.62792,0.78457,0.75096,0.48565,1.08525,1.6054,1.14438,1.20314,0,0.001406,0.001406,0.001406
