epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2708,1.35303,2.84044,1.72415,1.33744,0,0.6317,0.28181,0.29882,0.21599,0.62116,0.27711,0.29097,0.19298,1.131,2.46069,1.28732,1.15659,0,0.000663063,0.000663063,0.000663063
2,76.9723,1.19123,2.34301,1.17436,1.19697,0,0.67999,0.29826,0.32928,0.23569,0.69474,0.2966,0.33159,0.22197,1.15566,2.34935,1.05921,1.11395,0,0.00126391,0.00126391,0.00126391
3,112.684,1.14314,2.19224,1.06635,1.14163,0,0.66503,0.30256,0.32937,0.22243,0.681,0.30676,0.33912,0.23086,1.20692,2.22055,1.08814,1.11229,0,0.00179875,0.00179875,0.00179875
4,147.414,1.14746,2.2081,1.04758,1.12518,0,0.70491,0.30895,0.3432,0.25522,0.70476,0.3055,0.34342,0.24464,1.04712,2.16153,0.99231,1.05062,0,0.001703,0.001703,0.001703
5,183.11,1.14856,2.16576,1.01245,1.11678,0,0.72561,0.3132,0.35582,0.25243,0.74225,0.3118,0.35915,0.24599,1.1765,2.17195,0.96554,1.0704,0,0.001604,0.001604,0.001604
6,220.061,1.11358,2.08308,0.9664,1.08813,0,0.72976,0.31558,0.36413,0.2629,0.73951,0.31819,0.37319,0.26435,1.0775,2.01058,0.90912,1.02816,0,0.001505,0.001505,0.001505
7,253.749,1.08876,2.03113,0.94045,1.08098,0,0.64771,0.31983,0.34799,0.25045,0.66871,0.32213,0.35417,0.25655,1.14654,2.02188,1.03054,1.05386,0,0.001406,0.001406,0.001406
8,287.509,1.06661,1.99793,0.91176,1.06664,0,0.66302,0.33263,0.3639,0.26853,0.69282,0.32795,0.37062,0.2691,1.03588,1.95561,0.90833,1.01175,0,0.001307,0.001307,0.001307
9,323.302,1.05997,1.97932,0.88159,1.05536,0,0.73891,0.32062,0.37963,0.28055,0.76412,0.31835,0.37865,0.27371,0.99277,1.89644,0.87823,0.99172,0,0.001208,0.001208,0.001208
10,359.332,1.04491,1.93419,0.87619,1.04672,0,0.73908,0.3323,0.39047,0.28444,0.74652,0.33179,0.40084,0.28858,1.04109,1.87657,0.82581,1.00127,0,0.001109,0.001109,0.001109
11,405.172,1.10756,2.13021,1.01279,1.06401,0,0.71827,0.32331,0.37602,0.26888,0.72357,0.33079,0.3907,0.28193,1.09111,1.92828,0.89029,1.01276,0,0.00101,0.00101,0.00101
12,434.188,1.04242,1.99573,0.90401,1.03013,0,0.73512,0.32785,0.38425,0.28426,0.7576,0.32801,0.39522,0.28686,1.01382,1.8834,0.81801,0.98106,0,0.000911,0.000911,0.000911
13,463.411,1.03783,1.9727,0.88387,1.02238,0,0.74048,0.33194,0.38944,0.28756,0.76457,0.33289,0.39506,0.28848,0.97794,1.84849,0.80431,0.97502,0,0.000812,0.000812,0.000812
14,494.234,0.98858,1.91139,0.82738,0.99921,0,0.71556,0.33893,0.39965,0.2898,0.7471,0.32928,0.40026,0.28949,0.99796,1.80767,0.7972,0.96911,0,0.000713,0.000713,0.000713
15,525.649,0.99411,1.89795,0.82605,0.99757,0,0.72113,0.33423,0.39505,0.29066,0.75619,0.32583,0.3972,0.28568,1.00385,1.86184,0.79528,0.9787,0,0.000614,0.000614,0.000614
16,555.502,0.964,1.8638,0.80508,0.98815,0,0.73001,0.34171,0.4047,0.29832,0.76964,0.33289,0.41082,0.29733,0.96711,1.78615,0.76649,0.96092,0,0.000515,0.000515,0.000515
17,585.626,0.96047,1.84112,0.79295,0.98419,0,0.74826,0.33885,0.40661,0.30283,0.77754,0.33235,0.40637,0.30155,0.91807,1.74119,0.7361,0.94401,0,0.000416,0.000416,0.000416
18,615.216,0.94751,1.82805,0.78285,0.9842,0,0.75043,0.3428,0.4121,0.30671,0.80102,0.33205,0.41492,0.30725,0.9197,1.73252,0.72587,0.93911,0,0.000317,0.000317,0.000317
19,643.356,0.94013,1.79275,0.7646,0.97239,0,0.7398,0.34607,0.41387,0.30716,0.76989,0.3386,0.41739,0.30939,0.91579,1.70881,0.72611,0.93964,0,0.000218,0.000218,0.000218
20,670.094,0.93664,1.78461,0.76081,0.9708,0,0.76308,0.34271,0.41679,0.3116,0.80611,0.33137,0.41323,0.30712,0.88769,1.68999,0.71068,0.93346,0,0.000119,0.000119,0.000119
